tau,rho,eta,eta_neg_tau,eta_sphere,eta_series,resid_involution,resid_sphere,resid_series,resid_parabolic,u
1,-0.8,0.658569155447319,0.658569155447319,0.658569155447319,0.658569155447319,0,1.11022302462516e-16,2.22044604925031e-16,0.223786546751667,-0.518443418931108
1,-0.75,0.672929076887683,0.672929076887683,0.672929076887683,0.672929076887682,0,1.11022302462516e-16,4.44089209850063e-16,0.228484632443238,-0.486040705247914
1,-0.7,0.687929185810274,0.687929185810274,0.687929185810274,0.687929185810274,0,1.11022302462516e-16,1.11022302462516e-16,0.23338373126482,-0.45363799156472
1,-0.65,0.703613269078563,0.703613269078563,0.703613269078563,0.703613269078563,0,0,0,0.238496990008795,-0.421235277881525
1,-0.6,0.720029199903751,0.720029199903751,0.720029199903751,0.720029199903751,0,0,0,0.243838723713275,-0.388832564198331
1,-0.55,0.73722942592293,0.73722942592293,0.73722942592293,0.73722942592293,0,0,0,0.249424547874149,-0.356429850515137
1,-0.5,0.755271528945202,0.755271528945202,0.755271528945202,0.755271528945202,0,0,3.33066907387547e-16,0.255271528945202,-0.324027136831943
1,-0.45,0.774218868951223,0.774218868951223,0.774218868951223,0.774218868951223,0,0,1.11022302462516e-16,0.26139835613071,-0.291624423148748
1,-0.4,0.794141327522399,0.794141327522399,0.794141327522399,0.794141327522399,0,1.11022302462516e-16,2.22044604925031e-16,0.267825538048715,-0.259221709465554
1,-0.35,0.815116169082698,0.815116169082698,0.815116169082698,0.815116169082698,0,0,2.22044604925031e-16,0.274575628542158,-0.22681899578236
1,-0.3,0.83722904232561,0.83722904232561,0.83722904232561,0.83722904232561,0,0,3.33066907387547e-16,0.281673486770054,-0.194416282099166
1,-0.25,0.860575149189674,0.860575149189674,0.860575149189674,0.860575149189674,0,0,2.22044604925031e-16,0.289146577761103,-0.162013568415971
1,-0.2,0.885260615025306,0.885260615025306,0.885260615025306,0.885260615025306,0,0,1.11022302462516e-16,0.297025320907659,-0.129610854732777
1,-0.15,0.911404101543948,0.911404101543948,0.911404101543948,0.911404101543948,0,1.11022302462516e-16,1.11022302462516e-16,0.305343495483342,-0.0972081410495828
1,-0.1,0.939138714265691,0.939138714265691,0.939138714265691,0.939138714265691,0,1.11022302462516e-16,1.11022302462516e-16,0.314138714265691,-0.0648054273663885
1,-0.05,0.968614269166734,0.968614269166734,0.968614269166734,0.968614269166734,0,1.11022302462516e-16,1.11022302462516e-16,0.323452978844153,-0.0324027136831943
1,0,1,1,1,1,0,0,0,0.333333333333333,0
1,0.05,1.03348780958919,1.03348780958919,1.03348780958919,1.03348780958919,0,0,2.22044604925031e-16,0.343832637175397,0.0324027136831943
1,0.1,1.06929619702977,1.06929619702977,1.06929619702977,1.06929619702977,0,2.22044604925031e-16,4.44089209850063e-16,0.355010482744054,0.0648054273663885
1,0.15,1.10767503061292,1.10767503061292,1.10767503061292,1.10767503061292,0,2.22044604925031e-16,0,0.366934289872181,0.0972081410495828
1,0.2,1.14891138686361,1.14891138686361,1.14891138686361,1.14891138686361,0,0,2.22044604925031e-16,0.379680617632844,0.129610854732777
1,0.25,1.19333674425936,1.19333674425936,1.19333674425936,1.19333674425936,0,0,0,0.393336744259356,0.162013568415971
1,0.3,1.24133591305168,1.24133591305168,1.24133591305168,1.24133591305168,0,0,2.22044604925031e-16,0.408002579718348,0.194416282099166
1,0.35,1.29335821049027,1.29335821049027,1.29335821049027,1.29335821049027,0,2.22044604925031e-16,2.22044604925031e-16,0.42379299309897,0.22681899578236
1,0.4,1.34993156896989,1.34993156896989,1.34993156896989,1.34993156896989,0,0,4.44089209850063e-16,0.440840659878984,0.259221709465554
1,0.45,1.4116805162101,1.4116805162101,1.4116805162101,1.4116805162101,0,2.22044604925031e-16,0,0.459299563829145,0.291624423148748
1,0.5,1.47934932670719,1.47934932670719,1.47934932670719,1.47934932670719,0,0,4.44089209850063e-16,0.479349326707194,0.324027136831943
1,0.55,1.55383216701464,1.55383216701464,1.55383216701464,1.55383216701464,0,0,4.44089209850063e-16,0.501200588067271,0.356429850515137
1,0.6,1.6362128304305,1.6362128304305,1.6362128304305,1.6362128304305,0,0,2.22044604925031e-16,0.52510171931939,0.388832564198331
1,0.65,1.7278178191989,1.7278178191989,1.7278178191989,1.7278178191989,0,0,2.22044604925031e-16,0.551347230963606,0.421235277881525
1,0.7,1.83028831536784,1.83028831536784,1.83028831536784,1.83028831536784,0,0,0,0.580288315367842,0.45363799156472
1,0.75,1.94567937618943,1.94567937618943,1.94567937618943,1.94567937618943,0,4.44089209850063e-16,4.44089209850063e-16,0.612346042856101,0.486040705247914
1,0.8,2.07659917715243,2.07659917715243,2.07659917715243,2.07659917715243,0,0,4.44089209850063e-16,0.648027748581006,0.518443418931108
1,0.85,2.22640852637094,2.22640852637094,2.22640852637094,2.22640852637094,0,0,0,0.687946987909403,0.550846132614303
1,0.9,2.39951345333011,2.39951345333011,2.39951345333011,2.39951345333011,0,0,4.44089209850063e-16,0.732846786663441,0.583248846297497
1,0.95,2.60180579879487,2.60180579879487,2.60180579879487,2.60180579879487,0,4.44089209850063e-16,2.66453525910038e-15,0.783623980613052,0.615651559980691
1.5,-0.95,0.712331263930739,0.712331263930739,0.712331263930739,0.712331263930739,0,1.11022302462516e-16,1.11022302462516e-16,0.387128011898218,-0.403841233195166
1.5,-0.9,0.723282087292474,0.723282087292474,0.723282087292474,0.723282087292474,0,0,2.22044604925031e-16,0.39270357489578,-0.382586431448052
1.5,-0.85,0.734574866389965,0.734574866389965,0.734574866389965,0.734574866389965,0,1.11022302462516e-16,3.33066907387547e-16,0.398440412608452,-0.361331629700938
